timestamp,open,high,low,close,volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency,hour,minute,ticker,si_current_price,si_market_cap,si_pe_trailing,si_pe_forward,si_beta,si_dividend_yield,si_dividend_rate,si_payout_ratio,si_52w_low,si_52w_high,si_employees,si_book_value,si_price_to_book,si_profit_margin,si_roa,si_roe,si_revenue_per_share,si_total_cash,si_total_debt,si_total_revenue,si_ebitda,si_gross_margins,si_operating_margins,si_debt_to_equity,si_quick_ratio,si_current_ratio,si_inst_pct,si_insider_pct,si_short_ratio,si_shares_outstanding,si_float_shares,si_target_mean,si_target_high,si_target_low,si_recommendation_mean,si_num_analysts,inc_total_revenue,inc_cost_of_revenue,inc_gross_profit,inc_operating_income,inc_net_income,inc_diluted_eps,inc_basic_eps,inc_rd,inc_sga,inc_tax_provision,inc_pretax_income,inc_ebitda,inc_ebit,inc_norm_ebitda,inc_norm_income,inc_depreciation,inc_diluted_shares,inc_basic_shares,bs_total_assets,bs_total_liabilities,bs_stockholders_equity,bs_total_debt,bs_net_debt,bs_cash,bs_cash_short_inv,bs_inventory,bs_receivables,bs_net_ppe,bs_gross_ppe,bs_accum_depreciation,bs_goodwill,bs_intangible_assets,bs_long_term_debt,bs_current_liabilities,bs_current_assets,bs_working_capital,bs_retained_earnings,bs_common_stock,bs_capital_stock,bs_total_equity,bs_tangible_book_value,bs_invested_capital,bs_total_capitalization,cf_operating,cf_free,cf_capex,cf_dividends_paid,cf_stock_repurchases,cf_financing,cf_investing,cf_net_change,cf_end_cash,cf_begin_cash,cf_stock_comp,cf_depreciation,cf_deferred_tax,cf_net_income_ops,cf_change_wc,cf_issuance_debt,cf_repayment_debt,rec_strong_buy,rec_buy,rec_hold,rec_sell,rec_strong_sell,news_count,news_latest_headline
2026-08-10 18:50:00+00:00,306.825012207,307.2600097656,306.7699890137,307.1849975586,256393,0.0,0.0,AAPL,苹果,Apple Inc.,USD,18,50,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 18:55:00+00:00,307.1702880859,307.2099914551,307.0199890137,307.0400085449,184180,0.0,0.0,AAPL,苹果,Apple Inc.,USD,18,55,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:00:00+00:00,307.049987793,307.2240905762,307.0400085449,307.2124023438,246206,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,0,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:05:00+00:00,307.2099914551,307.3499145508,307.1300048828,307.2250061035,282635,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,5,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:10:00+00:00,307.2200012207,307.4599914551,307.1700134277,307.436706543,318906,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,10,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:15:00+00:00,307.4400024414,307.5199890137,307.2799987793,307.5100097656,344843,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,15,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:20:00+00:00,307.5150146484,307.6513977051,307.3200073242,307.549987793,300256,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,20,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:25:00+00:00,307.5650024414,307.6698913574,307.2001037598,307.2300109863,344698,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,25,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:30:00+00:00,307.2200012207,307.2395019531,306.9800109863,307.0100097656,401510,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,30,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:35:00+00:00,307.0100097656,307.3500061035,307.0100097656,307.3399963379,378617,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,35,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:40:00+00:00,307.3299865723,307.4299926758,307.2300109863,307.2565002441,307797,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,40,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:45:00+00:00,307.25,307.6149902344,307.1799926758,307.5473022461,328570,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,45,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:50:00+00:00,307.5,307.5,306.8699951172,306.9750061035,721201,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,50,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
2026-08-10 19:55:00+00:00,307.0100097656,308.2300109863,306.9899902344,308.1900024414,2366029,0.0,0.0,AAPL,苹果,Apple Inc.,USD,19,55,AAPL,305.59,4459835424768,35.044724,32.14128,1.086,0.35,1.08,0.1204,223.78,344.57,150000,7.36,41.52038,0.27618998,0.27082002,1.4875101,31.707,62399000576,84343996416,466822987776,167959003136,0.48653,0.32623002,78.445,0.812,1.003,0.66483,0.01648,2.58,14594180000,14569223952,322.2844,400.0,215.0,2.13043,41,416161000000.0,220960000000.0,195201000000.0,133050000000.0,112010000000.0,7.46,7.49,0,27601000000.0,20719000000.0,132729000000.0,144748000000.0,133050000000.0,144748000000.0,112010000000.0,11698000000.0,15004697000.0,14948500000.0,359241000000.0,285508000000.0,73733000000.0,98657000000.0,62723000000.0,35934000000.0,54697000000.0,5718000000.0,39777000000.0,49834000000.0,125848000000.0,-76014000000.0,0,0,78328000000.0,165631000000.0,147957000000.0,-17674000000.0,-14264000000.0,93568000000.0,93568000000.0,73733000000.0,73733000000.0,172390000000.0,152061000000.0,111482000000.0,98767000000.0,-12715000000.0,-15421000000.0,-90711000000.0,-120686000000.0,15195000000.0,5991000000.0,35934000000.0,29943000000.0,12863000000.0,11698000000.0,0,112010000000.0,-25000000000.0,4481000000.0,-10932000000.0,6,21,14,3,2,9,"Financial Advisors Love Warren Buffett, but They Don’t Always Agree With Him"
